"Maker","Type","Name","Year","Sales","comment","Model","Year_true","Month","price","kudou","kata","TransMission","WheelBase","MinRideHeight","weight","capacity","SeatRaw","NumofDoor","base_color","option_color","種類","engine","過給器","displacement","FuelType","TankCapacity","HorsePower","MaxTorque","FuelEfficiency","overall_length","overall_width","overall_height","interior_length","interior_width","interior_height"
"Audi","Foreign","A1シリーズ",2011,4206,NA,"1.4 TFSI",2011,1,289,"FF","DBA-8XCAX","7AT",2465,115,1190,4,2,3,"アマルフィホワイト、ブリリアントブラック、スクーバブルーメタリック、シラーズレッドメタリック、ティークブラウンメタリック、キュミュラスブルー、スフィアブルーメタリック、アイスシルバーメタリック","ミサノレッドパールエフェクト、ファントムブラックパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",45,122,20.4,19.4,3970,1740,1440,NA,NA,NA
"Audi","Foreign","A1シリーズ",2012,4502,NA,"1.4 TFSI",2012,1,273,"FF","DBA-8XCAX","7AT",2465,115,1190,4,2,3,"アマルフィホワイト、ブリリアントブラック、スクーバブルーメタリック、シラーズレッドメタリック、ティークブラウンメタリック、キュミュラスブルー、スフィアブルーメタリック、アイスシルバーメタリック","ミサノレッドパールエフェクト、ファントムブラックパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",45,122,20.4,19.4,3970,1740,1440,NA,NA,NA
"Audi","Foreign","A1シリーズ",2013,5071,NA,"1.4 TFSI",2012,1,273,"FF","DBA-8XCAX","7AT",2465,115,1190,4,2,3,"アマルフィホワイト、ブリリアントブラック、スクーバブルーメタリック、シラーズレッドメタリック、ティークブラウンメタリック、キュミュラスブルー、スフィアブルーメタリック、アイスシルバーメタリック","ミサノレッドパールエフェクト、ファントムブラックパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",45,122,20.4,19.4,3970,1740,1440,NA,NA,NA
"Audi","Foreign","A3シリーズ",2006,4830,NA,"アトラクション",2006,1,284,"FF","GH-8PBSE","6AT",2575,140,1360,5,2,5,"シルバーレイクメタリック、エボニーブラックパールエフェクト、ドルフィングレーメタリック、アークティックホワイト、ブリリアントレッド、モロブルーパールエフェクト、モーリシャスブルーパールエフェクト、アーコヤンシルバーメタリック","アルパカベージュメタリック","直列4気筒SOHC","BSE","なし",1595,"ハイオク",55,102,15.1,12.2,4285,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2007,3874,NA,"アトラクション",2007,1,286,"FF","GH-8PBSE","6AT",2575,140,1360,5,2,5,"ドルフィングレーメタリック、ブリリアントレッド、シルバーメタリック","モロブルーパールエフェクト、モーリシャスブルーパールエフェクト、ファントムブラックパールエフェクト","直列4気筒SOHC","BSE","なし",1595,"ハイオク",55,102,15.1,12.2,4285,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2008,3683,NA,"1.4 TFSI",2008,9,299,"FF","ABA-8PCAX","7AT",2575,140,1380,5,2,5,"アイスシルバーメタリック、アイビスホワイト、ブリリアントレッド","ファントムブラックパールエフェクト、ディープシーブルーパールエフェクト、メテオールグレーパールエフェクト、ラバグレーパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",55,125,20.4,15.8,4290,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2009,4338,NA,"1.4 TFSI",2009,1,299,"FF","ABA-8PCAX","7AT",2575,140,1380,5,2,5,"アイスシルバーメタリック、アイビスホワイト、ブリリアントレッド","ファントムブラックパールエフェクト、ディープシーブルーパールエフェクト、メテオールグレーパールエフェクト、ラバグレーパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",55,125,20.4,15.8,4290,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2010,4506,NA,"1.4 TFSI",2010,3,305,"FF","DBA-8PCAX","7AT",2575,140,1380,5,2,5,"アイスシルバーメタリック、アイビスホワイト、ブリリアントレッド","ファントムブラックパールエフェクト、ディープシーブルーパールエフェクト、メテオールグレーパールエフェクト、ラバグレーパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",55,125,20.4,16.6,4290,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2011,3739,NA,"1.4 TFSI",2010,3,305,"FF","DBA-8PCAX","7AT",2575,140,1380,5,2,5,"アイスシルバーメタリック、アイビスホワイト、ブリリアントレッド","ファントムブラックパールエフェクト、ディープシーブルーパールエフェクト、メテオールグレーパールエフェクト、ラバグレーパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",55,125,20.4,16.6,4290,1765,1430,NA,NA,NA
"Audi","Foreign","A3シリーズ",2012,3603,NA,"1.4 TFSI",2010,3,305,"FF","DBA-8PCAX","7AT",2575,140,1380,5,2,5,"アイスシルバーメタリック、アイビスホワイト、ブリリアントレッド","ファントムブラックパールエフェクト、ディープシーブルーパールエフェクト、メテオールグレーパールエフェクト、ラバグレーパールエフェクト","直列4気筒DOHC","CAX","ターボ",1389,"ハイオク",55,125,20.4,16.6,4290,1765,1430,NA,NA,NA
