類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication,"All items, less fresh food and energy"
類・品目符号(Group/Item code),0001,0161,0163,0166,0168,0002,0157,0172,0003,0008,0158,0013,0016,0021,0159,0027,0160,0030,0033,0034,0037,0041,0042,0045,0164,0046,0165,0051,0054,0056,0057,0058,0059,0060,0061,0066,0070,0073,0077,0081,0082,0083,0084,0085,0089,0090,0094,0098,0103,0106,0107,0108,0109,0110,0111,0112,0113,0117,0118,0119,0120,0121,0122,0123,0128,0134,0138,0145,0146,0147,0151,0155,0156,0167,0162,0173,0169,0178
含類総連番(Serial number),001,737,739,742,744,002,733,738,003,023,734,058,070,083,735,134,736,155,178,196,223,242,252,281,740,282,741,290,309,310,312,315,317,320,321,338,343,349,364,379,387,388,389,392,422,423,440,451,458,466,471,472,486,498,504,505,523,549,557,558,570,573,577,578,590,627,639,677,678,685,710,722,725,743,745,746,747,748
ウエイト(Weight),3139338474,3009367190,2668838854,2538867570,2107447669,823299511,129971284,693328227,65389146,68447756,39086504,75209191,36889047,90574112,60452893,32769540,30431887,35836771,73198122,98126000,46006658,37391064,163462104,655327030,184827410,559486051,88986431,95840979,233875366,111648533,56834114,12906356,52486363,109278268,34954064,7781194,8410744,22491850,27147399,8493017,129371336,54513682,2027016,52486666,38501053,27242580,11258473,18059053,10788628,7508920,134980143,38000505,22521064,74458574,463398213,70276282,262595081,130526850,99303039,67705449,2536232,29061358,310444582,18581565,65856101,40075190,185931726,180060986,37057751,45383296,20694853,13713124,63211962,245982358,125483076,340697488,149285881,2763384832
ウエイト１万分比(Weight per 10000),10000,9586,8501,8087,6713,2623,414,2209,208,218,125,240,118,289,193,104,97,114,233,313,147,119,521,2087,589,1782,283,305,745,356,181,41,167,348,111,25,27,72,86,27,412,174,6,167,123,87,36,58,34,24,430,121,72,237,1476,224,836,416,316,216,8,93,989,59,210,128,592,574,118,145,66,44,201,784,400,1085,476,8802
1970  ,31.5,31.7,32.0,32.2,31.9,30.4,27.0,31.2,35.5,23.0,24.6,36.1,48.0,24.9,26.3,33.5,32.7,47.1,28.2,24.4,53.0,44.7,23.9,26.5,24.8,28.5,30.6,19.9,30.1,54.1,24.7,18.2,,74.2,209.9,68.2,61.9,30.8,67.1,18.6,28.6,26.4,23.1,27.9,31.2,29.7,31.9,28.9,38.3,25.5,39.2,48.7,52.7,28.8,39.1,20.0,47.0,79.3,14.0,12.3,26.6,,39.8,1978.8,37.9,19.4,24.6,27.8,15.4,67.7,25.2,23.5,10.5,34.8,,,,31.6
1971  ,33.5,33.8,33.9,34.3,34.0,32.2,27.9,33.3,36.5,26.4,29.2,37.5,50.7,25.4,25.1,31.9,31.2,50.1,30.7,26.8,54.6,47.1,26.5,28.9,26.8,31.0,33.1,21.6,31.0,54.0,25.3,20.8,,77.6,213.3,73.6,65.2,33.1,71.1,20.2,31.4,29.4,26.3,30.7,34.0,32.2,34.9,31.2,41.3,28.2,39.9,50.2,56.0,28.9,40.6,20.8,48.9,81.3,15.2,13.1,30.5,,42.5,1937.9,39.8,22.2,26.9,29.2,17.6,69.8,26.5,23.5,10.6,36.4,,,,33.7
1972  ,35.2,35.6,35.4,36.0,35.8,33.4,27.8,35.0,37.9,27.7,30.3,39.4,52.6,25.6,23.8,32.0,31.3,51.4,32.6,28.6,55.1,47.1,28.6,31.6,29.1,34.0,35.8,23.4,31.7,53.9,26.2,21.1,,78.8,212.1,76.2,66.7,34.5,72.2,22.1,33.2,31.3,29.3,32.1,35.4,33.3,36.5,33.1,43.1,30.6,43.6,52.0,60.9,32.2,42.1,21.9,49.6,85.1,16.3,14.3,30.9,,44.6,1927.1,42.5,23.5,28.5,30.3,19.9,70.0,27.3,23.5,10.7,36.9,,,,35.6
1973  ,39.3,39.7,39.6,40.1,39.8,37.8,32.1,39.4,41.1,31.5,34.0,47.3,58.5,32.2,31.1,32.5,31.9,57.1,35.3,34.2,56.9,49.4,32.7,35.2,33.0,37.3,38.9,28.1,33.2,53.8,29.0,23.1,,87.1,230.9,81.5,77.5,38.7,79.3,24.1,40.8,39.2,37.7,39.9,41.9,40.5,42.2,39.3,48.2,35.0,43.1,53.6,64.1,31.3,44.9,23.5,53.6,86.4,18.1,16.0,34.0,,48.8,1978.8,47.9,26.4,31.5,32.5,23.8,66.8,31.1,23.5,11.9,39.6,,,,39.7
1974  ,48.4,48.6,49.2,49.7,47.5,48.3,41.9,49.9,50.9,41.4,44.6,56.2,76.6,42.2,41.9,40.3,39.5,76.7,50.3,47.7,68.8,57.3,40.7,40.2,40.7,40.1,41.7,39.7,41.7,61.4,37.8,34.6,,119.0,322.5,104.4,96.7,54.6,112.7,28.9,50.1,47.3,44.8,48.5,53.2,49.6,55.5,52.2,58.8,44.5,46.6,56.8,89.4,33.2,53.2,26.8,71.0,87.6,21.3,18.8,40.5,,59.9,2331.9,61.8,36.0,36.0,38.3,32.8,74.4,38.7,23.5,13.3,52.7,,,,48.4
